"Title","Profile Link","Department","Designation","Qualification","Research Interests","Profile Image"
"M.S. Rajeshwaran","https://pec.ac.in/aero/ms-rajeshwaran","Aerospace Engineering","Assistant Professor","M.Tech. (IIT Kanpur)","Turbomachinery, Gas Turbine Propulsion, Experiments in Fluids","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/ms_rajeshwaran.png?itok=3FHmzSEq"
"Tushar Siag","https://pec.ac.in/tushar-siag","Aerospace Engineering Department","Assistant Professor","Master of Technology (M.Tech.)","Experimental Aerodynamics, Flow Turbulence measurement and modeling, Aeroacoustics, Turbo-machine","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/Tushar.jpg?itok=arQ_3H9d"
"Dr. Veeranna Yempally","https://pec.ac.in/dr-veeranna-yempally","Applied Sciences","Assistant Professor","Ph.D. Inorganic Chemistry (University of Miami, Coral Gables, USA), Postdoc (University of New Hampshire, Dover, USA.), Postdoc (Texas A&M University at Qatar, Doha, Qatar).","Photochemical and electrochemical carbondioxide reduction, Organometallic catalysis, Novel materials for theronastic application and small molecule activation. Sustainable materials for hydrogen release and storage.","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/veeranna%20Photo.jpg?itok=8Vsb0CMP"
"Amandeep Kaur","https://pec.ac.in/cse/amandeep-kaur","Computer Science & Engineering","Assistant Professor","B.Tech, M.Tech, Ph.D (Pursuing)","Digital Image Processing, Machine Learning, Data Analytics","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/my_image.jpeg?itok=fQnfFhG1"
"Manish Kumar","https://pec.ac.in/cse/manish-kumar","Computer Science & Engineering","Assistant Professor","B.Tech, M.Tech, Ph.D","Information Retrieval, Web Crawling, Machine Learning","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/manish_0.jpg?itok=unvjMlyk"
"Mayank Gupta","https://pec.ac.in/cse/mayank-gupta","Computer Science & Engineering","Assistant Professor","M.Tech","Data Analysis, Machine Learning","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/mayank.jpg?itok=KCcC65Qi"
"Ms Sawinder Kaur","https://pec.ac.in/cse/ms-sawinder-kaur","Computer Science & Engineering","Assistant Professor","M.Tech (CSE)","Data Structures and Algorithms, Discrete mathematics","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/sawinder_kaur.jpg?itok=jM9wXTh2"
"Prof Gurdit Singh","https://pec.ac.in/cse/prof-gurdit-singh","Computer Science & Engineering","Assistant Professor","M.Tech, Ph.D (Pursuing)","Mobile Sensors, Wireless network, cryptography and cryptanalysis, secure wireless networks","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/gurdit_singh.jpg?itok=Not094Dm"
"Rajni Sethi","https://pec.ac.in/cse/faculty/rajni-sethi","Computer Science & Engineering","(Contractual Faculty)","M.Tech, Ph.D (Pursuing)","Image Processing, Underwater Image Enhancement, Soft Computing","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/rajni.jpg?itok=hIOWbH_g"
"Rattan Deep Kaur","https://pec.ac.in/cse/faculty/rattan-deep-kaur","Computer Science & Engineering","(Contractual Faculty)","M.E.","Wireless Sensor Networks","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/rattan.jpg?itok=9eAdqVEo"
